batch,person,level,Timestep,ipscore,Weight,Amp,Att_feats,norm,choosed
0,0,0,0,0.00068285037,0.23640391,-0.0067878673,-0.2850693,0.3901065,No
0,0,0,1,-0.0034169222,0.2326918,0.032403495,-0.28223675,0.80191714,No
0,0,0,2,0.0002690184,0.22720054,-0.0034464793,-0.27409652,0.30442983,No
0,0,0,3,-0.0007084508,0.23092495,0.006755609,-0.2829682,0.27913916,No
0,0,0,4,0.00020367137,0.23068844,-0.0019705743,-0.30497763,0.34320727,No
0,0,0,5,-6.4553016e-05,0.22830667,0.00069185515,-0.31032324,0.3787567,Yes
0,0,0,6,0.002961222,0.22787866,-0.03264437,-0.31611657,0.40357587,Yes
0,0,0,7,0.0022848747,0.22512865,-0.020774791,-0.3015101,0.37877014,Yes
0,0,0,8,0.003356948,0.22468226,-0.027957851,-0.362334,0.3770291,Yes
0,0,0,9,0.000626445,0.2226606,-0.0074510965,-0.21631075,0.38175863,Yes
0,0,0,10,0.001077702,0.22232124,-0.009868922,-0.30271873,0.3595938,Yes
0,0,0,11,-0.011431112,0.2194281,0.23100354,-0.20903291,0.27388477,Yes
0,0,0,12,-0.0041605583,0.22039406,0.051486537,-0.24451526,0.4309733,No
0,0,0,13,0.0003996409,0.2193479,-0.0032848062,-0.35683748,0.48920444,No
0,0,0,14,0.002201016,0.21658148,-0.02367497,-0.25744697,0.43621564,No
0,0,0,15,-0.001794251,0.21635866,0.021289773,-0.25533205,0.5806627,No
0,0,0,16,0.0018538927,0.21501449,-0.02129977,-0.2947708,0.6366934,No
0,0,0,17,-0.0073962584,0.21537861,0.19956507,-0.12063711,0.80750775,No
0,0,0,18,0.0021271217,0.21345666,-0.019015506,-0.25502613,0.92868507,No
0,0,0,19,0.0026397642,0.2118507,-0.02302675,-0.34175456,1.0207419,No
0,0,0,20,0.0044964505,0.21120872,-0.06610686,-0.22734594,1.1669946,No
0,0,0,21,-0.0025062412,0.21086246,0.027516076,-0.24140155,1.3014742,No
0,0,0,22,0.004537918,0.21036097,-0.06996237,-0.2733882,1.4692252,No
0,0,0,23,-0.00079395575,0.20965394,0.007217373,-0.2997529,1.6128006,No
0,0,0,24,0.0026947842,0.20930928,-0.031810153,-0.28756404,1.7400494,No
0,0,1,0,0.000634753,0.23380393,-0.0067878673,-0.28487876,0.04399909,Yes
0,0,1,1,-0.00359721,0.23303594,0.032403495,-0.28218833,0.10454751,Yes
0,0,1,2,0.00027355552,0.2318949,-0.0034464793,-0.273815,0.18368995,Yes
0,0,1,3,-0.0005535281,0.23158324,0.006755609,-0.28296843,0.22554302,Yes
0,0,1,4,0.00016076888,0.23021175,-0.0019705743,-0.30479172,0.2645212,Yes
0,0,1,5,-5.5663208e-05,0.23025276,0.00069185515,-0.31037235,0.40325493,No
0,0,1,6,0.0026472353,0.23030455,-0.03264437,-0.31568623,0.51581687,No
0,0,1,7,0.0016506984,0.2293305,-0.020774791,-0.30144647,0.47883657,No
0,0,1,8,0.0022104324,0.2290318,-0.027957851,-0.36201745,0.5435498,No
0,0,1,9,0.00058742176,0.2290009,-0.0074510965,-0.21610816,0.64969915,No
0,0,1,10,0.0007645332,0.2279469,-0.009868922,-0.30273995,0.68059933,No
0,0,1,11,-0.017774642,0.22714175,0.23100354,-0.20874159,0.65587753,No
0,0,1,12,-0.003969173,0.22776638,0.051486537,-0.24422249,0.8793128,No
0,0,1,13,0.0002514816,0.22774322,-0.0032848062,-0.35648656,1.0138612,No
0,0,1,14,0.0017855809,0.2270077,-0.02367497,-0.25721377,1.0430616,No
0,0,1,15,-0.0016002905,0.22721602,0.021289773,-0.25522873,1.2918249,No
0,0,1,16,0.0015842164,0.22653699,-0.02129977,-0.29450613,1.4309502,No
0,0,1,17,-0.014971051,0.22754516,0.19956507,-0.12021275,1.6400535,No
0,0,1,18,0.0014088787,0.22686206,-0.019015506,-0.2550331,1.8739592,No
0,0,1,19,0.0016953297,0.22666593,-0.02302675,-0.34122044,2.0574272,No
0,0,1,20,0.0048560575,0.22726284,-0.06610686,-0.2271541,2.3088696,No
0,0,1,21,-0.0020079594,0.22651738,0.027516076,-0.24147484,2.4398408,No
0,0,1,22,0.005065128,0.22687413,-0.06996237,-0.27349043,2.6830404,No
0,0,1,23,-0.000525112,0.22710176,0.007217373,-0.29977325,2.8965352,No
0,0,1,24,0.0022979693,0.22765872,-0.031810153,-0.2869964,3.0910826,No
0,0,2,0,0.0003245163,0.2371032,-0.0067878673,-0.2854104,0.45018113,No
0,0,2,1,-0.0015429716,0.23517342,0.032403495,-0.28094366,0.7467496,No
0,0,2,2,0.00016320687,0.2292611,-0.0034464793,-0.27357844,0.38541105,No
